day,meal_type,name,serving_size,calories,total_fat,total_carbohydrate,protein,category
Monday,Breakfast,Special K Chocolate PB Protein Bar,1.59z bar,90, 4, 9, 5,Bar
Monday,Breakfast,Sugar Pearl Belgian Waffle,1ct,290, 14, 37, 4,Toppings
Monday,Breakfast,Sunflower Seed Snack,5.25z,null,null,null,null,Snack
Monday,Breakfast,Triple Zero Vanilla Yogurt,5.3z Container,150, 0, 15, 22,Snack
Monday,Breakfast,Tuna Kit Lunch 4.1z Starkist,4.1z,null,null,null,null,Miscellaneous
Monday,Breakfast,Vanilla Snack Pudding,3.5z Cup,110, 2.5, 20, 0,Snack
Monday,Breakfast,2% Chocolate Milk BIB,1 Cup,170, 5, 24, 8,Drinks
Monday,Breakfast,2% Milk BIB,8 flz,120, 5, 11, 8,Drinks
Monday,Breakfast,Apple Juice 6:1 Concentrate,1/2 hall glass,10, 0, 3, 0,Drinks
Monday,Breakfast,Cherry Coke,1 dining hall glass,null,null,null,null,Drinks
Monday,Breakfast,Coke Classic,1 dining hall glass,null,null,null,null,Drinks
Monday,Breakfast,Coke Zero,8flz,null,null,null,null,Drinks
Monday,Breakfast,Cranberry Juice 4.7:1 Concentrate,1/2 hall glass,70, 0, 19, 0,Drinks
Monday,Breakfast,Diet Coke,1 dining hall glass,null,null,null,null,Drinks
Monday,Breakfast,Diet Sprite,Fluid Oz,0, 0, 0, 0,Drinks
Monday,Breakfast,Milk Soy Vanilla Aseptic Silk,8z,null,null,null,null,Drinks
Monday,Breakfast,Orange Juice 5:1 Concentrate,1/2 hall glass,15, 0, 3, 0,Drinks
Monday,Breakfast,Original Style Lemonade,1 dining hall glass,null,null,null,null,Drinks
Monday,Breakfast,Original Unsweetened Almond Milk,6z Portion,60, 2, 11, < 1,Drinks
Monday,Breakfast,Pibb Xtra,1 dining hall glass,null,null,null,null,Drinks
Monday,Breakfast,Powerade Mountain Blast,1 dining hall glass,null,null,null,null,Drinks
Monday,Breakfast,Root Beer,1 dining hall glass,null,null,null,null,Drinks
Monday,Breakfast,Skim Milk BIB,8 flz,80, 0, 11, 8,Drinks
Monday,Breakfast,Sprite,1 dining hall glass,null,null,null,null,Drinks
Monday,Breakfast,Unsweetened Vanilla Almond Milk,6z Portion,20, 1.5, < 1, < 1,Drinks
Monday,Breakfast,Brewed coffee,6z Portion,0, 0, 0, 0,Miscellaneous
Monday,Breakfast,Coffeemate Original,Fluid Oz,30, 3, 0, 0,Drinks
Monday,Breakfast,Creamer French Vanilla Coffeemate 1.5L,Fluid Oz,60, 3.5, 8, 0,Toppings
Monday,Breakfast,ecoStick Sugar Substitute Blue Pc,Stick,0, 0, 0, 0,Toppings
Monday,Breakfast,ecoStick Sugar Substitute Pink Pc,Stick,0, 0, 1, 0,Toppings
Monday,Breakfast,ecoStick Sugar Substitute Yellow Pc,Stick,0, 0, 1, 0,Toppings
Monday,Breakfast,Extra Lite Amber Honey,Ounce,80, 0, 23, 0,Toppings
Monday,Breakfast,Green Tea Bag,Tea Bag,0, 0, 0, 0,Drinks
Monday,Breakfast,Hazelnut Coffee Creamer,Fluid Oz,10, 0, 2, 0,Toppings
Monday,Breakfast,Lipton Black Tea Bag,Tea Bag,0, 0, 0, 0,Drinks
Monday,Breakfast,Lipton Tea Decaf,Tea Bag,null,null,null,null,Drinks
Monday,Breakfast,Eli's Breakfast Sandwich,1 Sandwich,360, 18, 27, 19,Entrees
Monday,Breakfast,Hard Boiled Eggs,1 Egg,90, 7, 0, 8,Entrees
Monday,Breakfast,Maple Sausage Links,2 Links,200, 19, 2, 6,Sides
Monday,Breakfast,Oatmeal Station with Nuts,Nutrition Varies,100, 5, 23, 1,Entrees
Monday,Breakfast,Scrambled Eggs,4z Portion,180, 13, 0, 15,Entrees
Monday,Breakfast,Southwest Tofu Scramble,3z Portion,100,null,null,null,Entrees
Monday,Breakfast,Tater Tots,4z Portion,170, 9, 21, 1,Sides
Monday,Breakfast,Captain Crunch Wildberries,Cup,180, 2.5, 39, 2,Cereal
Monday,Breakfast,Cheerios,Cup,110, 2, 22, 4,Cereal
Monday,Breakfast,Cinnamon Toast Crunch,Cup,210, 5, 40, 2,Cereal
Monday,Breakfast,Frosted Flakes,Cup,320, 0, 67, 13,Cereal
Monday,Breakfast,Rice Chex Cereal,Cup,180, 1, 40, 3,Cereal
Monday,Breakfast,Special K with Red Berries,Cup,360, 1, 78, 16,Miscellaneous
Monday,Breakfast,Apple Gala,Apples,90, 0, 25, 0,Fruit
Monday,Breakfast,Bananas,Banana,190, 0, 46, 2,Fruit
Monday,Breakfast,Fresh Kiwi,Kiwi,60, 0, 15, 1,Fruit
Monday,Breakfast,Oranges,Orange,100, 0, 24, 2,Fruit
Monday,Breakfast,Pears,Each,null,null,null,null,Fruit
Monday,Breakfast,American,Slice,70, 6, < 1, 3,Miscellaneous
Monday,Breakfast,Hamburger Sliced Dill Pickle Chip,Slice,0, 0, 0, 0,Snack
Monday,Breakfast,Heavy Duty Mayonnaise,Tablespoon,100, 11, 1, 0,Toppings
Monday,Breakfast,Natural Low Sodium Ketchup,Ounce,5, 0, 1, 0,Toppings
Monday,Breakfast,Sliced Red Onion,Ounce,10, 0, 3, 0,Toppings
Monday,Breakfast,Spicy Brown Mustard,Ounce,30, 0, 0, 0,Toppings
Monday,Breakfast,Tomatoes,Ounce,5, 0, 1, 0,Miscellaneous
Monday,Breakfast,Yellow Mustard,1 tsp,0, 0, 0, 0,Toppings
Monday,Breakfast,"10"" Flour Tortilla",Tortilla,170, 4.5, 29, 4,Tortilla
Monday,Breakfast,Egg White Liquid,Ounce,15, 0, 0, 3,Miscellaneous
Monday,Breakfast,Large Fresh Eggs,Eggs,100, 7, 0, 8,Miscellaneous
Monday,Breakfast,Zero Egg Plant Based Egg Liquid,Ounce,25, 1.5, 1, 2,Miscellaneous
Monday,Breakfast,Daiya Vegan Shredded Mozzarella Cheese,Ounce,80, 5, 8, 0,Cheese
Monday,Breakfast,Shredded Mild Cheddar Cheese,Ounce,110, 9, 1, 6,Cheese
Monday,Breakfast,Shredded Part-Skim Mozzarella Cheese,1z Portion,80, 6, 1, 6,Cheese
Monday,Breakfast,Cooked Sausage Crumble,1z Portion,120, 12, 0, 3,Sides
Monday,Breakfast,"Diced 3/8"" Bacon",1 Tbsp,60, 4.5, 0, 5,Toppings
Monday,Breakfast,Diced Green Peppers,Ounce,5, 0, 1, 0,Toppings
Monday,Breakfast,Diced Onions,Ounce,10, 0, 2, 0,Toppings
Monday,Breakfast,Diced Tomatoes,Ounce,0, 0, 1, 0,Toppings
Monday,Breakfast,Sliced Mushrooms,Tablespoon,0, 0, 0, 0,Toppings
Monday,Breakfast,Spinach,Ounce,5, 0, 1, < 1,Miscellaneous
Monday,Breakfast,"Water-Added Ham Diced 1/4""",Ounce,35, 1.5, 1, 5,Toppings
Monday,Breakfast,"100% Whole Wheat Bread 1/2"" Slice",Slice,70, 0.5, 13, 4,Miscellaneous
Monday,Breakfast,Avocado Pulp Fresh,Ounce,70, 6, 4, < 1,Toppings
Monday,Breakfast,Cream Cheese,Ounce,90, 9, 2, 2,Cheese
Monday,Breakfast,Jif Peanut Butter PC,0.75z,120, 10, 5, 4,Toppings
Monday,Breakfast,Nutella Chocolate Hazelnut Spread,Ounce,150, 9, 18, 1,Toppings
Monday,Breakfast,Plain Bagel,Bagel,320, 1, 65, 11,Entrees
Monday,Breakfast,Sliced Tomatoes,Ounce,0, 0, 1, 0,Toppings
Monday,Breakfast,Unsalted European-Style Butter Prints,Ounce,220, 24, 0, 0,Miscellaneous
Monday,Breakfast,"White Pullman Bread 0.5"" Slice",Slices,60, 0.5, 12, 2,Miscellaneous
Monday,Breakfast,Whole Wheat Bagel,Bagel,320, 1.5, 65, 11,Entrees
Monday,Breakfast,Blueberry Yogurt,Ounce,20, 0, 4, < 1,Snack
Monday,Breakfast,Nature Valley Toasted Granola Oat,Ounce,130, 4.5, 20, 2,Miscellaneous
Monday,Breakfast,Plain Greek Yogurt,Ounce,15, 0, 1, 3,Snack
Monday,Breakfast,Small Curd Cottage Cheese,1/2 Cup,100, 5, 5, 11,Cheese
Monday,Breakfast,Strawberry Yogurt,Ounce,20, 0, 4, < 1,Snack
Monday,Breakfast,Vanilla Yogurt,Ounce,20, 0, 4, < 1,Snack
Monday,Lunch,2% Chocolate Milk BIB,1 Cup,170, 5, 24, 8,Drinks
Monday,Lunch,2% Milk BIB,8 flz,120, 5, 11, 8,Drinks
Monday,Lunch,Apple Juice 6:1 Concentrate,1/2 hall glass,10, 0, 3, 0,Drinks
Monday,Lunch,Cherry Coke,1 dining hall glass,null,null,null,null,Drinks
Monday,Lunch,Coke Classic,1 dining hall glass,null,null,null,null,Drinks
Monday,Lunch,Coke Zero,8flz,null,null,null,null,Drinks
Monday,Lunch,Cranberry Juice 4.7:1 Concentrate,1/2 hall glass,70, 0, 19, 0,Drinks
Monday,Lunch,Diet Coke,1 dining hall glass,null,null,null,null,Drinks
Monday,Lunch,Diet Sprite,Fluid Oz,0, 0, 0, 0,Drinks
Monday,Lunch,Milk Soy Vanilla Aseptic Silk,8z,null,null,null,null,Drinks
Monday,Lunch,Orange Juice 5:1 Concentrate,1/2 hall glass,15, 0, 3, 0,Drinks
Monday,Lunch,Original Style Lemonade,1 dining hall glass,null,null,null,null,Drinks
Monday,Lunch,Original Unsweetened Almond Milk,6z Portion,60, 2, 11, < 1,Drinks
Monday,Lunch,Pibb Xtra,1 dining hall glass,null,null,null,null,Drinks
Monday,Lunch,Powerade Mountain Blast,1 dining hall glass,null,null,null,null,Drinks
Monday,Lunch,Root Beer,1 dining hall glass,null,null,null,null,Drinks
Monday,Lunch,Skim Milk BIB,8 flz,80, 0, 11, 8,Drinks
Monday,Lunch,Sprite,1 dining hall glass,null,null,null,null,Drinks
Monday,Lunch,Unsweetened Vanilla Almond Milk,6z Portion,20, 1.5, < 1, < 1,Drinks
Monday,Lunch,Brewed coffee,6z Portion,0, 0, 0, 0,Miscellaneous
Monday,Lunch,Coffeemate Original,Fluid Oz,30, 3, 0, 0,Drinks
Monday,Lunch,Creamer French Vanilla Coffeemate 1.5L,Fluid Oz,60, 3.5, 8, 0,Toppings
Monday,Lunch,ecoStick Sugar Substitute Blue Pc,Stick,0, 0, 0, 0,Toppings
Monday,Lunch,ecoStick Sugar Substitute Pink Pc,Stick,0, 0, 1, 0,Toppings
Monday,Lunch,ecoStick Sugar Substitute Yellow Pc,Stick,0, 0, 1, 0,Toppings
Monday,Lunch,Extra Lite Amber Honey,Ounce,80, 0, 23, 0,Toppings
Monday,Lunch,Green Tea Bag,Tea Bag,0, 0, 0, 0,Drinks
Monday,Lunch,Hazelnut Coffee Creamer,Fluid Oz,10, 0, 2, 0,Toppings
Monday,Lunch,Lipton Black Tea Bag,Tea Bag,0, 0, 0, 0,Drinks
Monday,Lunch,Lipton Tea Decaf,Tea Bag,null,null,null,null,Drinks
Monday,Lunch,Steamed Brown Rice,4z Portion,150, 1.5, 31, 3,Sides
Monday,Lunch,Steamed Long Grain Rice,4z Portion,530, 0, 115, 10,Sides
Monday,Lunch,Vegetable Egg Rolls,2 Egg Rolls,230, 0, 37, 7,Miscellaneous
Monday,Lunch,Chicken for Stirfry,1z Portion,50, 3.5, 0, 4,Entrees
Monday,Lunch,Firm Tofu,1/4 cup,60, 3, 2, 6,Miscellaneous
Monday,Lunch,Homestyle Breaded Chicken Breast Chunk,4 pcs,260, 15, 16, 15,Entrees
Monday,Lunch,Plant Based Chick'n Poppers,1ct,null,null,null,null,Miscellaneous
Monday,Lunch,Shrimp,1 Shrimp,5, 0, 0, 1,Entrees
Monday,Lunch,Steamed Brown Rice,4z Portion,150, 1.5, 31, 3,Sides
Monday,Lunch,Steamed Long Grain Rice,4z Portion,530, 0, 115, 10,Sides
Monday,Lunch,Szechuan Sauce,Ounce,120, 12, < 1, 2,Toppings
Monday,Lunch,Velveted Beef,1z Portion,40, 1.5, 0, 6,Entrees
Monday,Lunch,Yaki Soba Noodles,3z Portion,230, 2.5, 44, 9,Entrees
Monday,Lunch,Orange Ginger Sauce,2 tbs,60, 0, 15, 0,Toppings
Monday,Lunch,Sauce General Tso Premium,1Tbsp,30, 0, 8, 0,Toppings
Monday,Lunch,Soy Sauce,Ounce,20, 0, 0, 4,Toppings
Monday,Lunch,Sriracha Sauce,Teaspoon,0, 0, 0, 0,Toppings
Monday,Lunch,Sweet & Sour Sauce,Fluid Oz,30, 0, 8, 0,Toppings
Monday,Lunch,Teriyaki Glaze,2 tbs,50, 0, 12, 2,Miscellaneous
Monday,Lunch,Bamboo Shoots,Ounce,0, 0, 0, 0,Miscellaneous
Monday,Lunch,Bean Sprouts,Ounce,10, 0, 2, < 1,Miscellaneous
Monday,Lunch,Broccoli Florets,Ounce,10, 0, 1, < 1,Sides
Monday,Lunch,Cabbage Napa Shredded Thin,Ounce,0, 0, < 1, 0,Miscellaneous
Monday,Lunch,Carrots,Tablespoon,0, 0, 0, 0,Sides
Monday,Lunch,Celery,Tablespoon,0, 0, 0, 0,Miscellaneous
Monday,Lunch,Ginger Garlic,1z Portion,30, 0, 6, 0,Toppings
Monday,Lunch,Onion Sliced,Ounce,15, 0.5, 3, 0,Toppings
Monday,Lunch,Sliced Mushrooms,Tablespoon,0, 0, 0, 0,Toppings
Monday,Lunch,Snow Pea Pods,Ounce,10, 0, 0, < 1,Miscellaneous
Monday,Lunch,Tri Color Peppers,Portion,25, 1.5, 2, 0,Miscellaneous
Monday,Lunch,Water Chestnut Sliced,Ounce,15, 0, 3, 0,Toppings
Monday,Lunch,Captain Crunch Wildberries,Cup,180, 2.5, 39, 2,Cereal
Monday,Lunch,Cheerios,Cup,110, 2, 22, 4,Cereal
Monday,Lunch,Cinnamon Toast Crunch,Cup,210, 5, 40, 2,Cereal
Monday,Lunch,Frosted Flakes,Cup,320, 0, 67, 13,Cereal
Monday,Lunch,Rice Chex Cereal,Cup,180, 1, 40, 3,Cereal
Monday,Lunch,Special K with Red Berries,Cup,360, 1, 78, 16,Miscellaneous
Monday,Lunch,French Rolls,"6"" Portion",null,null,null,null,Miscellaneous
Monday,Lunch,"Honey Wheat Tortilla 12""",Tortilla,300, 8, 53, 7,Tortilla
Monday,Lunch,Kettle Chips,Ounce,160, 9, 15, 2,Snack
Monday,Lunch,"Multigrain Bread 5/8"" Slice",Slice,null,null,null,null,Miscellaneous
Monday,Lunch,Sourdough Bread Slice,Slices,100, 1, 20, 3,Miscellaneous
Monday,Lunch,"Spinach Tortilla 12""",Tortilla,300, 8, 53, 7,Tortilla
Monday,Lunch,"Sundried Tomato Basil Tortilla 12""",Tortillas,310, 8, 53, 7,Tortilla
Monday,Lunch,Telera Roll,3.5z,300, 4, 56, 9,Miscellaneous
Monday,Lunch,Caramel Topping,Ounce,80, 0, 18, 0,Miscellaneous
Monday,Lunch,Chocolate Soft Serve Ice Cream Mix,Cup,340, 12, 52, 8,Ice Cream
Monday,Lunch,Cone Cake Jacketed,Cone,null,null,null,null,Miscellaneous
Monday,Lunch,Dole Whip Pineapple,1 Serving,110, 0.5, 26, 0,Ice Cream
Monday,Lunch,Dole Whip Strawberry,1 Serving,110, 0, 26, 0,Ice Cream
Monday,Lunch,Dutch Chocolate Syrup,Ounce,70, 0, 16, < 1,Miscellaneous
Monday,Lunch,Mini Semi-Sweet Choc Chips,Ounce,130, 8, 19, 2,Snack
Monday,Lunch,Oreo Cookie Topping,Ounce,140, 5, 21, 1,Cookie
Monday,Lunch,Rainbow Sprinkles,Ounce,140, 7, 21, 0,Ice Cream
Monday,Lunch,Vanilla Soft Serve Ice Cream Mix,Cup,360, 13, 49, 8,Ice Cream
Monday,Lunch,Jalapeno Monterey Jack Cheese Slice,Slice,60, 5, 0, 4,Cheese
Monday,Lunch,Provolone Cheese Slice,Slice,70, 6, 0, 5,Cheese
Monday,Lunch,Sliced 0.75z Mild Cheddar Cheese,Slice,80, 7, 0, 5,Cheese
Monday,Lunch,Cooked & Crumbled Bacon,Ounce,160, 13, 0, 11,Miscellaneous
Monday,Lunch,"Diced 3/8"" Bacon",1 Tbsp,60, 4.5, 0, 5,Toppings
Monday,Lunch,Grilled Chicken Breast Strip Fajita,Ounce,35, 1.5, < 1, 6,Entrees
Monday,Lunch,Low Sodium Smoked Ham Slices,Ounce,30, 1, 0, 5,Miscellaneous
Monday,Lunch,Oven Roasted Sliced Chicken,Ounce,null,null,null,null,Toppings
Monday,Lunch,Smoked Sliced Genoa Salami,Ounce,110, 9, 1, 6,Toppings
Monday,Lunch,Smoked Tempeh,Ounce,null,null,null,null,Miscellaneous
Monday,Lunch,Tuna Salad,1z Portion,80, 7, < 1, 4,Salad
Monday,Lunch,Chicago-Style Hot Giardiniera,Fluid Oz,120, 12, 0, 0,Miscellaneous
Monday,Lunch,Cucumber Slices,.25 cup,0, 0, < 1, 0,Miscellaneous
Monday,Lunch,Flat Leaf Spinach,Ounce,5, 0, 1, < 1,Miscellaneous
Monday,Lunch,Hamburger Sliced Dill Pickle Chip,Slice,0, 0, 0, 0,Snack
Monday,Lunch,Mild Banana Pepper Ring,Ounce,5, 0, 1, 0,Fruit
Monday,Lunch,Shredded Iceberg Lettuce,Ounce,0, 0, < 1, 0,Miscellaneous
Monday,Lunch,Sliced Jalapeno Peppers,Tablespoon,0, 0, 0, 0,Toppings
Monday,Lunch,Sliced Red Onion,Ounce,10, 0, 3, 0,Toppings
Monday,Lunch,Tomatoes Sliced 1/4-inch,Pound,80, 1, 18, 4,Toppings
Monday,Lunch,Aged Balsamic Vinegar,Fluid Oz,40, 0, 9, 0,Toppings
Monday,Lunch,Black Pepper Grinder,Teaspoon,5, 0, 1, 0,Miscellaneous
Monday,Lunch,Buttermilk Ranch Dressing,Ounce,130, 14, 1, 0,Toppings
Monday,Lunch,Chipotle Ranch Dressing,Fluid Oz,150, 16, 1, 0,Snack
Monday,Lunch,Garlic Mayonnaise,1/2 oz,100, 10, 1, 0,Toppings
Monday,Lunch,Grinder Sea Salt,Gram,0, 0, 0, 0,Miscellaneous
Monday,Lunch,Heavy Duty Mayonnaise,Tablespoon,100, 11, 1, 0,Toppings
Monday,Lunch,Mediterranean Extra Virgin Olive Oil,1 tbsp,120, 14, 0, 0,Miscellaneous
Monday,Lunch,Plant Based Chipotle Ranch Dressing,2z Portion,180, 20, 7, 0,Snack
Monday,Lunch,RedHot Buffalo Wing Sauce,Fluid Oz,0, 0, 0, 0,Toppings
Monday,Lunch,Vegan Mayonnaise,1 tbs,60, 7, < 1, 0,Toppings
Monday,Lunch,Vinegar Red Wine,Fluid Oz,0, 0, 0, 0,Miscellaneous
Monday,Lunch,Yellow Mustard,1 tsp,0, 0, 0, 0,Toppings
Monday,Lunch,Apple Gala,Apples,90, 0, 25, 0,Fruit
Monday,Lunch,Bananas,Banana,190, 0, 46, 2,Fruit
Monday,Lunch,Fresh Kiwi,Kiwi,60, 0, 15, 1,Fruit
Monday,Lunch,Oranges,Orange,100, 0, 24, 2,Fruit
Monday,Lunch,Pears,Each,null,null,null,null,Fruit
Monday,Lunch,American,Slice,70, 6, < 1, 3,Miscellaneous
Monday,Lunch,Angus Beef Frank,Frank,170, 16, 1, 6,Entrees
Monday,Lunch,Black Bean Burger,Patty,170, 5, 26, 15,Miscellaneous
Monday,Lunch,Breaded Onion Tangler,3z portion,270, 17, 27, 3,Miscellaneous
Monday,Lunch,Buns Hot Dog Bulk,Each,120, 1.5, 21, 4,Entrees
Monday,Lunch,Fried Eggs,Eggs,90, 7, 0, 8,Miscellaneous
Monday,Lunch,Hamburger Bun,Buns,null,null,null,null,Entrees
Monday,Lunch,Hamburger Sliced Dill Pickle Chip,Slice,0, 0, 0, 0,Snack
Monday,Lunch,Heavy Duty Mayonnaise,Tablespoon,100, 11, 1, 0,Toppings
Monday,Lunch,Homestyle Breaded Chicken Breast Fritter,Patty,230, 14, 13, 12,Entrees
Monday,Lunch,Natural Low Sodium Ketchup,Ounce,5, 0, 1, 0,Toppings
Monday,Lunch,Regular Cut Potato Fries,3z,110, 3.5, 20, 1,Sides
Monday,Lunch,Sliced Red Onion,Ounce,10, 0, 3, 0,Toppings
Monday,Lunch,Smash Burger,Burgers,290, 23, 1, 19,Miscellaneous
Monday,Lunch,Spicy Brown Mustard,Ounce,30, 0, 0, 0,Toppings
Monday,Lunch,Tomatoes,Ounce,5, 0, 1, 0,Miscellaneous
Monday,Lunch,Yellow Mustard,1 tsp,0, 0, 0, 0,Toppings
Monday,Lunch,American Cheese Slice,Slice,50, 4.5, 1, 2,Cheese
Monday,Lunch,Jalapeno Monterey Jack Cheese Slice,Slice,60, 5, 0, 4,Cheese
Monday,Lunch,"Multigrain Bread 5/8"" Slice",Slice,null,null,null,null,Miscellaneous
Monday,Lunch,Sliced 0.75z Mild Cheddar Cheese,Slice,80, 7, 0, 5,Cheese
Monday,Lunch,Sourdough Bread Slice,Slices,100, 1, 20, 3,Miscellaneous
Monday,Lunch,Baked Sweet Potato,Potatoes,120, 1.5, 26, 2,Sides
Monday,Lunch,Garden Herb Chicken Breast,3.25z Tender,80, 0, 0, 19,Entrees
Monday,Lunch,Meatball Grinder,Sub,680,null,null,null,Miscellaneous
Monday,Lunch,Mixed Vegetables,4z Portion,80, 0, 15, 2,Miscellaneous
Monday,Lunch,Pasta Caprese Plntbsd Vegan DH,6z Portion,210, 8, 30, 7,Entrees
Monday,Lunch,Quinoa Grain Blend,3z Portion,100,null,null,null,Miscellaneous
Monday,Lunch,Sauteed Fresh Zucchini Batonnets,Pound,150, 11, 12, 5,Miscellaneous
