day,meal_type,name,serving_size,calories,total_fat
Monday,Breakfast,Popcorn Micro Butter-Flavor,3.3z,380, 17
Monday,Breakfast,Powerade Fruit Punch,20z Bottle,null,null
Monday,Breakfast,Powerade Mountain Berry Blast,20z Bottle,170,null
Monday,Breakfast,Powerade Orange,20z Bottle,null,null
Monday,Breakfast,Powerade Zero Grape,20z Bottle,null,null
Monday,Breakfast,Powerade Zero Mixed Berry,20z,null,null
Monday,Breakfast,Pringles Original Potato Chip,1.3z Pkg,200, 12
Monday,Breakfast,Pringles Sour Cream & Onion Chip,1.41z,210, 14
Monday,Breakfast,Raisin Bran,Cup,240, 1.5
Monday,Breakfast,Regular Lays Chips,1z Bag,160, 10
Monday,Breakfast,Regular Ruffles Chips,1z bag,160, 10
Monday,Breakfast,Shrimp Cup of Noodles,2.25z,null,null
Monday,Breakfast,Sliced Apple Pc,2.4z,35, 0
Monday,Breakfast,Smoothie Bolthouse Farm Berry Boost,Bottle,null,null
Monday,Breakfast,Smoothie Bolthouse Farm C-Boost,Bottle,null,null
Monday,Breakfast,Smoothie Bolthouse Farm Green Goodness,Bottle,null,null
Monday,Breakfast,Smoothie Bolthouse Farm Strb Banana,Bottle,null,null
Monday,Breakfast,S'more Frosted Pop Tart,6ct,1110, 27
Monday,Breakfast,Special K Chocolate PB Protein Bar,1.59z bar,90, 4
Monday,Breakfast,Sugar Pearl Belgian Waffle,1ct,290, 14
Monday,Breakfast,Sunflower Seed Snack,5.25z,null,null
Monday,Breakfast,Triple Zero Vanilla Yogurt,5.3z Container,150, 0
Monday,Breakfast,Tuna Kit Lunch 4.1z Starkist,4.1z,null,null
Monday,Breakfast,Vanilla Snack Pudding,3.5z Cup,110, 2.5
Monday,Breakfast,2% Chocolate Milk BIB,1 Cup,170, 5
Monday,Breakfast,2% Milk BIB,8 flz,120, 5
Monday,Breakfast,Apple Juice 6:1 Concentrate,1/2 hall glass,10, 0
Monday,Breakfast,Cherry Coke,1 dining hall glass,null,null
Monday,Breakfast,Coke Classic,1 dining hall glass,null,null
Monday,Breakfast,Coke Zero,8flz,null,null
Monday,Breakfast,Cranberry Juice 4.7:1 Concentrate,1/2 hall glass,70, 0
Monday,Breakfast,Diet Coke,1 dining hall glass,null,null
Monday,Breakfast,Diet Sprite,Fluid Oz,0, 0
Monday,Breakfast,Milk Soy Vanilla Aseptic Silk,8z,null,null
Monday,Breakfast,Orange Juice 5:1 Concentrate,1/2 hall glass,15, 0
Monday,Breakfast,Original Style Lemonade,1 dining hall glass,null,null
Monday,Breakfast,Original Unsweetened Almond Milk,6z Portion,60, 2
Monday,Breakfast,Pibb Xtra,1 dining hall glass,null,null
Monday,Breakfast,Powerade Mountain Blast,1 dining hall glass,null,null
Monday,Breakfast,Root Beer,1 dining hall glass,null,null
Monday,Breakfast,Skim Milk BIB,8 flz,80, 0
Monday,Breakfast,Sprite,1 dining hall glass,null,null
Monday,Breakfast,Unsweetened Vanilla Almond Milk,6z Portion,20, 1.5
Monday,Breakfast,Brewed coffee,6z Portion,0,null
Monday,Breakfast,Coffeemate Original,Fluid Oz,30, 3
Monday,Breakfast,Creamer French Vanilla Coffeemate 1.5L,Fluid Oz,60, 3.5
Monday,Breakfast,ecoStick Organic White Sugar Stick,"Stick
Stick",10, 0
Monday,Breakfast,ecoStick Sugar Substitute Blue Pc,Stick,0, 0
Monday,Breakfast,ecoStick Sugar Substitute Pink Pc,Stick,0, 0
Monday,Breakfast,ecoStick Sugar Substitute Yellow Pc,Stick,0, 0
Monday,Breakfast,Extra Lite Amber Honey,Ounce,80, 0
Monday,Breakfast,Green Tea Bag,Tea Bag,0, 0
Monday,Breakfast,Hazelnut Coffee Creamer,Fluid Oz,10, 0
Monday,Breakfast,Lipton Black Tea Bag,Tea Bag,0, 0
Monday,Breakfast,Lipton Tea Decaf,Tea Bag,null,null
Monday,Breakfast,Eli's Breakfast Sandwich,1 Sandwich,360, 18
Monday,Breakfast,Hard Boiled Eggs,1 Egg,90, 7
Monday,Breakfast,Maple Sausage Links,2 Links,200, 19
Monday,Breakfast,Oatmeal Station with Nuts,Nutrition Varies,100, 5
Monday,Breakfast,Scrambled Eggs,4z Portion,180, 13
Monday,Breakfast,Southwest Tofu Scramble,3z Portion,100,null
Monday,Breakfast,Tater Tots,4z Portion,170, 9
Monday,Breakfast,Captain Crunch Wildberries,Cup,180, 2.5
Monday,Breakfast,Cheerios,Cup,110, 2
Monday,Breakfast,Cinnamon Toast Crunch,Cup,210, 5
Monday,Breakfast,Frosted Flakes,Cup,320, 0
Monday,Breakfast,Rice Chex Cereal,Cup,180, 1
Monday,Breakfast,Special K with Red Berries,Cup,360, 1
Monday,Breakfast,Apple Gala,Apples,90, 0
Monday,Breakfast,Bananas,Banana,190, 0
Monday,Breakfast,Fresh Kiwi,Kiwi,60, 0
Monday,Breakfast,Oranges,Orange,100, 0
Monday,Breakfast,Pears,Each,null,null
Monday,Breakfast,American,Slice,70, 6
Monday,Breakfast,Hamburger Sliced Dill Pickle Chip,Slice,0, 0
Monday,Breakfast,Heavy Duty Mayonnaise,Tablespoon,100, 11
Monday,Breakfast,Natural Low Sodium Ketchup,Ounce,5, 0
Monday,Breakfast,Sliced Red Onion,Ounce,10, 0
Monday,Breakfast,Spicy Brown Mustard,Ounce,30, 0
Monday,Breakfast,Tomatoes,Ounce,5, 0
Monday,Breakfast,Yellow Mustard,1 tsp,0, 0
Monday,Breakfast,"10"" Flour Tortilla",Tortilla,170, 4.5
Monday,Breakfast,Egg White Liquid,Ounce,15, 0
Monday,Breakfast,Large Fresh Eggs,Eggs,100, 7
Monday,Breakfast,Zero Egg Plant Based Egg Liquid,Ounce,25, 1.5
Monday,Breakfast,Daiya Vegan Shredded Mozzarella Cheese,Ounce,80, 5
Monday,Breakfast,Shredded Mild Cheddar Cheese,Ounce,110, 9
Monday,Breakfast,Shredded Part-Skim Mozzarella Cheese,1z Portion,80, 6
Monday,Breakfast,Cooked Sausage Crumble,1z Portion,120, 12
Monday,Breakfast,"Diced 3/8"" Bacon",1 Tbsp,60, 4.5
Monday,Breakfast,Diced Green Peppers,Ounce,5, 0
Monday,Breakfast,Diced Onions,Ounce,10, 0
Monday,Breakfast,Diced Tomatoes,Ounce,0, 0
Monday,Breakfast,Plant Based Chorizo Sausage Crumble,2z Portion,140, 5
Monday,Breakfast,Sliced Mushrooms,Tablespoon,0, 0
Monday,Breakfast,Spinach,Ounce,5, 0
Monday,Breakfast,"Water-Added Ham Diced 1/4""",Ounce,35, 1.5
Monday,Breakfast,"100% Whole Wheat Bread 1/2"" Slice",Slice,70, 0.5
Monday,Breakfast,Avocado Pulp Fresh,Ounce,70, 6
Monday,Breakfast,Cream Cheese,Ounce,90, 9
Monday,Breakfast,Everything Bagel,"Bagel
Bagel",340, 4.5
Monday,Breakfast,Jif Peanut Butter PC,0.75z,120, 10
Monday,Breakfast,Nutella Chocolate Hazelnut Spread,Ounce,150, 9
Monday,Breakfast,Plain Bagel,Bagel,320, 1
Monday,Breakfast,Sliced Tomatoes,Ounce,0, 0
Monday,Breakfast,Unsalted European-Style Butter Prints,Ounce,220, 24
Monday,Breakfast,"White Pullman Bread 0.5"" Slice",Slices,60, 0.5
Monday,Breakfast,Whole Wheat Bagel,Bagel,320, 1.5
Monday,Breakfast,Blueberry Yogurt,Ounce,20, 0
Monday,Breakfast,Nature Valley Toasted Granola Oat,Ounce,130, 4.5
Monday,Breakfast,Plain Greek Yogurt,Ounce,15, 0
Monday,Breakfast,Small Curd Cottage Cheese,1/2 Cup,100, 5
Monday,Breakfast,Strawberry Yogurt,Ounce,20, 0
Monday,Breakfast,Vanilla Yogurt,Ounce,20, 0
Monday,Lunch,2% Chocolate Milk BIB,1 Cup,170, 5
Monday,Lunch,2% Milk BIB,8 flz,120, 5
Monday,Lunch,Apple Juice 6:1 Concentrate,1/2 hall glass,10, 0
Monday,Lunch,Cherry Coke,1 dining hall glass,null,null
Monday,Lunch,Coke Classic,1 dining hall glass,null,null
Monday,Lunch,Coke Zero,8flz,null,null
Monday,Lunch,Cranberry Juice 4.7:1 Concentrate,1/2 hall glass,70, 0
Monday,Lunch,Diet Coke,1 dining hall glass,null,null
Monday,Lunch,Diet Sprite,Fluid Oz,0, 0
Monday,Lunch,Milk Soy Vanilla Aseptic Silk,8z,null,null
Monday,Lunch,Orange Juice 5:1 Concentrate,1/2 hall glass,15, 0
Monday,Lunch,Original Style Lemonade,1 dining hall glass,null,null
Monday,Lunch,Original Unsweetened Almond Milk,6z Portion,60, 2
Monday,Lunch,Pibb Xtra,1 dining hall glass,null,null
Monday,Lunch,Powerade Mountain Blast,1 dining hall glass,null,null
Monday,Lunch,Root Beer,1 dining hall glass,null,null
Monday,Lunch,Skim Milk BIB,8 flz,80, 0
Monday,Lunch,Sprite,1 dining hall glass,null,null
Monday,Lunch,Unsweetened Vanilla Almond Milk,6z Portion,20, 1.5
Monday,Lunch,Brewed coffee,6z Portion,0,null
Monday,Lunch,Coffeemate Original,Fluid Oz,30, 3
Monday,Lunch,Creamer French Vanilla Coffeemate 1.5L,Fluid Oz,60, 3.5
Monday,Lunch,ecoStick Organic White Sugar Stick,"Stick
Stick",10, 0
Monday,Lunch,ecoStick Sugar Substitute Blue Pc,Stick,0, 0
Monday,Lunch,ecoStick Sugar Substitute Pink Pc,Stick,0, 0
Monday,Lunch,ecoStick Sugar Substitute Yellow Pc,Stick,0, 0
Monday,Lunch,Extra Lite Amber Honey,Ounce,80, 0
Monday,Lunch,Green Tea Bag,Tea Bag,0, 0
Monday,Lunch,Hazelnut Coffee Creamer,Fluid Oz,10, 0
Monday,Lunch,Lipton Black Tea Bag,Tea Bag,0, 0
Monday,Lunch,Lipton Tea Decaf,Tea Bag,null,null
Monday,Lunch,Steamed Brown Rice,4z Portion,140, 1
Monday,Lunch,Steamed Long Grain Rice,4z Portion,530, 0
Monday,Lunch,Vegetable Egg Rolls,2 Egg Rolls,230, 0
Monday,Lunch,Chicken for Stirfry,1z Portion,50, 3.5
Monday,Lunch,Firm Tofu,1/4 cup,60, 3
Monday,Lunch,Homestyle Breaded Chicken Breast Chunk,4 pcs,260, 15
Monday,Lunch,Plant Based Chick'n Poppers,1ct,null,null
Monday,Lunch,Shrimp,1 Shrimp,5, 0
Monday,Lunch,Steamed Brown Rice,4z Portion,140, 1
Monday,Lunch,Steamed Long Grain Rice,4z Portion,530, 0
Monday,Lunch,Szechuan Sauce,Ounce,120, 12
Monday,Lunch,Thai Rice Noodle,Ounce,100, 0
Monday,Lunch,Velveted Beef,1z Portion,40, 1.5
Monday,Lunch,Yaki Soba Noodles,3z Portion,230, 2.5
Monday,Lunch,Orange Ginger Sauce,2 tbs,60, 0
Monday,Lunch,Sauce General Tso Premium,1Tbsp,30, 0
Monday,Lunch,Soy Sauce,Ounce,20, 0
Monday,Lunch,Sriracha Sauce,Teaspoon,0, 0
Monday,Lunch,Sweet & Sour Sauce,Fluid Oz,30, 0
Monday,Lunch,Teriyaki Glaze,2 tbs,50, 0
Monday,Lunch,Bamboo Shoots,Ounce,0, 0
Monday,Lunch,Bean Sprouts,Ounce,10, 0
Monday,Lunch,Broccoli Florets,Ounce,10, 0
Monday,Lunch,Cabbage Napa Shredded Thin,Ounce,0, 0
Monday,Lunch,Carrots,Tablespoon,0, 0
Monday,Lunch,Celery,Tablespoon,0, 0
Monday,Lunch,Ginger Garlic,1z Portion,30, 0
Monday,Lunch,Onion Sliced,Ounce,15, 0.5
Monday,Lunch,Sliced Mushrooms,Tablespoon,0, 0
Monday,Lunch,Snow Pea Pods,Ounce,10, 0
Monday,Lunch,Tri Color Peppers,Portion,25, 1.5
Monday,Lunch,Water Chestnut Sliced,Ounce,15, 0
Monday,Lunch,Captain Crunch Wildberries,Cup,180, 2.5
Monday,Lunch,Cheerios,Cup,110, 2
Monday,Lunch,Cinnamon Toast Crunch,Cup,210, 5
Monday,Lunch,Frosted Flakes,Cup,320, 0
Monday,Lunch,Rice Chex Cereal,Cup,180, 1
Monday,Lunch,Special K with Red Berries,Cup,360, 1
Monday,Lunch,French Rolls,"6"" Portion",null,null
Monday,Lunch,"Honey Wheat Tortilla 12""",Tortilla,300, 8
Monday,Lunch,Kettle Chips,Ounce,160, 9
Monday,Lunch,"Multigrain Bread 5/8"" Slice",Slice,null,null
Monday,Lunch,Sourdough Bread Slice,Slices,100, 1
Monday,Lunch,"Spinach Tortilla 12""",Tortilla,300, 8
Monday,Lunch,"Sundried Tomato Basil Tortilla 12""",Tortillas,310, 8
Monday,Lunch,Telera Roll,3.5z,300, 4
Monday,Lunch,Caramel Topping,Ounce,80, 0
Monday,Lunch,Chocolate Soft Serve Ice Cream Mix,Cup,340, 12
Monday,Lunch,Cone Cake Jacketed,Cone,null,null
Monday,Lunch,Dole Whip Pineapple,1 Serving,110, 0.5
Monday,Lunch,Dole Whip Strawberry,1 Serving,110, 0
Monday,Lunch,Dutch Chocolate Syrup,Ounce,70, 0
Monday,Lunch,Mini Semi-Sweet Choc Chips,Ounce,130, 8
Monday,Lunch,Oreo Cookie Topping,Ounce,140, 5
Monday,Lunch,Rainbow Sprinkles,Ounce,140, 7
Monday,Lunch,Vanilla Soft Serve Ice Cream Mix,Cup,360, 13
Monday,Lunch,Jalapeno Monterey Jack Cheese Slice,Slice,60, 5
Monday,Lunch,Provolone Cheese Slice,Slice,70, 6
Monday,Lunch,Sliced 0.75z Mild Cheddar Cheese,Slice,80, 7
Monday,Lunch,Cooked & Crumbled Bacon,Ounce,160, 13
Monday,Lunch,"Diced 3/8"" Bacon",1 Tbsp,60, 4.5
Monday,Lunch,Grilled Chicken Breast Strip Fajita,Ounce,35, 1.5
Monday,Lunch,Low Sodium Smoked Ham Slices,Ounce,30, 1
Monday,Lunch,Oven Roasted Sliced Chicken,Ounce,null,null
Monday,Lunch,Smoked Sliced Genoa Salami,Ounce,110, 9
Monday,Lunch,Smoked Tempeh,Ounce,null,null
Monday,Lunch,Tuna Salad,1z Portion,80, 7
Monday,Lunch,Chicago-Style Hot Giardiniera,Fluid Oz,120, 12
Monday,Lunch,Cucumber Slices,.25 cup,0, 0
Monday,Lunch,Flat Leaf Spinach,Ounce,5, 0
Monday,Lunch,Hamburger Sliced Dill Pickle Chip,Slice,0, 0
Monday,Lunch,Mild Banana Pepper Ring,Ounce,5, 0
Monday,Lunch,Shredded Iceberg Lettuce,Ounce,0, 0
Monday,Lunch,Sliced Jalapeno Peppers,Tablespoon,0, 0
Monday,Lunch,Sliced Red Onion,Ounce,10, 0
Monday,Lunch,Tomatoes Sliced 1/4-inch,Pound,80, 1
Monday,Lunch,Aged Balsamic Vinegar,Fluid Oz,40, 0
Monday,Lunch,Black Pepper Grinder,Teaspoon,5, 0
Monday,Lunch,Buttermilk Ranch Dressing,Ounce,130, 14
Monday,Lunch,Chipotle Ranch Dressing,Fluid Oz,150, 16
Monday,Lunch,Garlic Mayonnaise,1/2 oz,100, 10
Monday,Lunch,Grinder Sea Salt,Gram,0, 0
Monday,Lunch,Heavy Duty Mayonnaise,Tablespoon,100, 11
Monday,Lunch,Mediterranean Extra Virgin Olive Oil,1 tbsp,120, 14
Monday,Lunch,Plant Based Chipotle Ranch Dressing,2z Portion,180, 20
Monday,Lunch,RedHot Buffalo Wing Sauce,Fluid Oz,0, 0
Monday,Lunch,Vegan Mayonnaise,1 tbs,60, 7
Monday,Lunch,Vinegar Red Wine,Fluid Oz,0, 0
Monday,Lunch,Yellow Mustard,1 tsp,0, 0
Monday,Lunch,Apple Gala,Apples,90, 0
Monday,Lunch,Bananas,Banana,190, 0
Monday,Lunch,Fresh Kiwi,Kiwi,60, 0
Monday,Lunch,Oranges,Orange,100, 0
Monday,Lunch,Pears,Each,null,null
Monday,Lunch,American,Slice,70, 6
Monday,Lunch,Angus Beef Frank,Frank,170, 16
Monday,Lunch,Black Bean Burger,Patty,170, 5
Monday,Lunch,Breaded Onion Tangler,3z portion,270, 17
Monday,Lunch,Buns Hot Dog Bulk,Each,120, 1.5
Monday,Lunch,Fried Eggs,Eggs,90, 7
Monday,Lunch,Hamburger Bun,Buns,null,null
Monday,Lunch,Hamburger Sliced Dill Pickle Chip,Slice,0, 0
Monday,Lunch,Heavy Duty Mayonnaise,Tablespoon,100, 11
Monday,Lunch,Homestyle Breaded Chicken Breast Fritter,Patty,230, 14
Monday,Lunch,Natural Low Sodium Ketchup,Ounce,5, 0
Monday,Lunch,Regular Cut Potato Fries,3z,110, 3.5
Monday,Lunch,Sliced Red Onion,Ounce,10, 0
Monday,Lunch,Smash Burger,Burgers,290, 23
Monday,Lunch,Spicy Brown Mustard,Ounce,30, 0
Monday,Lunch,Tomatoes,Ounce,5, 0
Monday,Lunch,Yellow Mustard,1 tsp,0, 0
Monday,Lunch,American Cheese Slice,Slice,50, 4.5
Monday,Lunch,Jalapeno Monterey Jack Cheese Slice,Slice,60, 5
Monday,Lunch,"Multigrain Bread 5/8"" Slice",Slice,null,null
Monday,Lunch,Sliced 0.75z Mild Cheddar Cheese,Slice,80, 7
Monday,Lunch,Sourdough Bread Slice,Slices,100, 1
Monday,Lunch,"White Pullman Bread 0.5"" Slice",Slices,60, 0.5
Monday,Lunch,Baked Sweet Potato,Potatoes,120, 1.5
Monday,Lunch,Garden Herb Chicken Breast,3.25z Tender,80, 0
Monday,Lunch,Meatball Grinder,Sub,680,null
Monday,Lunch,Mixed Vegetables,4z Portion,80, 0
Monday,Lunch,Pasta Caprese Plntbsd Vegan DH,6z Portion,210, 8
Monday,Lunch,Quinoa Grain Blend,3z Portion,100,null
Monday,Lunch,Red-Skin Dijon Potato Salad,3z Portion,190, 16
Monday,Lunch,Sauteed Fresh Zucchini Batonnets,Pound,150, 11
Monday,Lunch,"10"" Flour Tortilla",Tortilla,170, 4.5
Monday,Lunch,Egg White Liquid,Ounce,15, 0
Monday,Lunch,Large Fresh Eggs,Eggs,100, 7
Monday,Lunch,Zero Egg Plant Based Egg Liquid,Ounce,25, 1.5
Monday,Lunch,Daiya Vegan Shredded Mozzarella Cheese,Ounce,80, 5
Monday,Lunch,Shredded Mild Cheddar Cheese,Ounce,110, 9
Monday,Lunch,Shredded Part-Skim Mozzarella Cheese,1z Portion,80, 6
Monday,Lunch,Cooked Sausage Crumble,1z Portion,120, 12
Monday,Lunch,"Diced 3/8"" Bacon",1 Tbsp,60, 4.5
Monday,Lunch,Diced Green Peppers,Ounce,5, 0
Monday,Lunch,Diced Onions,Ounce,10, 0
Monday,Lunch,Diced Tomatoes,Ounce,0, 0
Monday,Lunch,Plant Based Chorizo Sausage Crumble,2z Portion,140, 5
Monday,Lunch,Sliced Mushrooms,Tablespoon,0, 0
Monday,Lunch,Spinach,Ounce,5, 0
Monday,Lunch,"Water-Added Ham Diced 1/4""",Ounce,35, 1.5
Monday,Lunch,Broccoli Florets,Ounce,10, 0
Monday,Lunch,Sauteed Sliced Mushrooms,1z Portion,15, 1
Monday,Lunch,Tomato Cherry Red Halves,2 Halves,0, 0
Monday,Lunch,Chunk Italian Sausage,Ounce,90, 8
Monday,Lunch,Grilled Chicken Breast Strip Fajita,Ounce,35, 1.5
Monday,Lunch,Shrimp,1 Shrimp,5, 0
Monday,Lunch,Elbow Macaroni Pasta,4z Portion,220, 5
Monday,Lunch,Penne Pasta,3z Portion,170, 4.5
Monday,Lunch,Tri-Color Tortellini,4z Portion,280, 8
Monday,Lunch,Alfredo Sauce,Ounce,70, 6
Monday,Lunch,Basil Pesto Sauce,1/4 Cup,320, 34
Monday,Lunch,Diavolo Sauce,2 Flz Portion,90, 8
Monday,Lunch,Marinara Sauce,Ounce,15, 0.5
Monday,Lunch,Balsamic Vinegar,Teaspoon,0, 0
Monday,Lunch,Basil,Ounce,0, 0
Monday,Lunch,Garlic Minced Prep,Ounce,35, 0
Monday,Lunch,Grated Parmesan Cheese,Tablespoon,30, 2.5
Monday,Lunch,Mediterranean Extra Virgin Olive Oil,1 tbsp,120, 14
Monday,Lunch,Parsley Ital Fresh Clnd,Tablespoon,0, 0
Monday,Lunch,Pepper Red Crushed,Teaspoon,0, 0
Monday,Lunch,Shallots Minced Prep,Ounce,15, 0
Monday,Lunch,Cheese Pizza,Piece -U,140, 5
Monday,Lunch,Sausage Pizza,Piece -U,180, 9
Monday,Lunch,Tomato Basil Pizza,1/12 Pizza,200, 9
Monday,Lunch,Baked Sweet Potato,Potatoes,120, 1.5
Monday,Lunch,Classic Vegan Kimchi,Ounce,10, 0
Monday,Lunch,Firm Tofu,1/4 cup,60, 3
Monday,Lunch,Flax Seed,Ounce,150, 12
Monday,Lunch,High Protein Grain BleND,3z portion,190,null
Monday,Lunch,Marinated Quarter Artichoke Heart,Ounce,15, 1
Monday,Lunch,Marinated Tofu,4z Portion,110, 5
Monday,Lunch,Nutritional Yeast,Gram,null,null
Monday,Lunch,Organic Black Chia Seed,Ounce,140, 9
Monday,Lunch,Roasted & Salted Sunflower Seeds,1 Tablespoon,90, 7
Monday,Lunch,Salt & Peppercorn Roasted Cauliflower,Ounce,0, 0
Monday,Lunch,Shredded Kale,Ounce,15, 0
Monday,Lunch,Sliced Almonds,Tablespoon,90, 8
Monday,Lunch,Walnuts Halves & Pieces,Tablespoon,50, 5
Monday,Lunch,"10"" Flour Tortilla",Tortilla,170, 4.5
Monday,Lunch,Chicken Taco Meat,2z Portion,140, 2
Monday,Lunch,Chipotle Ranch Dressing,Fluid Oz,150, 16
Monday,Lunch,Flame-Roasted Corn & Peppers,4z Portion,160, 5
Monday,Lunch,Grilled Steak Strips,2z Portion,120, 6
Monday,Lunch,House-made Guacamole,3z Portion,100, 9
Monday,Lunch,Mexican Rice,Ounce,80, 0
Monday,Lunch,Pico de Gallo,2z Portion,10, 0
Monday,Lunch,Queso Rico Chihuahua Cheese,Ounce,100, 8
Monday,Lunch,Sliced Jalapeno Peppers,Tablespoon,0, 0
Monday,Lunch,Sour Cream 5lb,2 Tbsp,60, 5
Monday,Lunch,Vegan Refried Beans,1.6z Portion,150, 1.5
Monday,Lunch,Black Beans,Ounce,25, 0
Monday,Lunch,Carrots,Tablespoon,0, 0
Monday,Lunch,Chopped Eggs,.5z Portion,25, 1.5
Monday,Lunch,Classic Edamame,Tablespoon,15, 0.5
Monday,Lunch,Crispy Fried French Onion,Ounce,160, 12
Monday,Lunch,Cucumber Slices,Slices,0, 0
Monday,Lunch,Diced Tomatoes,Ounce,0, 0
Monday,Lunch,Feta Cheese Crumbles,Ounce,5, 0.5
Monday,Lunch,Iceberg Salad Mix,1 cup portion,5, 0
Monday,Lunch,Large Seasoned Crouton,Ounce,120, 4
Monday,Lunch,Locally Grown Salad Greens,Ounce,0, 0
Monday,Lunch,Low Sodium Garbanzo Beans,Ounce,30, 0
Monday,Lunch,Mini Marshmallows,Ounce,90, 0
Monday,Lunch,Shredded Mild Cheddar Cheese,Ounce,110, 9
Monday,Lunch,Sliced Mushrooms,Tablespoon,0, 0
Monday,Lunch,Sliced Red Onion,Ounce,10, 0
Monday,Lunch,Spiced Pumpkin Seeds,Tablespoon,45, 3
Monday,Lunch,Spinach,Ounce,5, 0
Monday,Lunch,Tri Color Peppers,Portion,25, 1.5
Monday,Lunch,Tuna,1/4 Cup,35, 0
Monday,Lunch,Balsamic Vinaigrette Dressing in Bottle,Ounce,60, 4.5
Monday,Lunch,Buttermilk Ranch Dressing,Ounce,130, 14
Monday,Lunch,Country French Dressing,Ounce,120, 11
Monday,Lunch,Creamy Caesar Dressing,Fluid Oz,140, 15
Monday,Lunch,Fat Free Raspberry Vinaigrette Dressing,Fluid Oz,35, 0
Monday,Lunch,Lite Ranch Dressing,Ounce,70, 7
Monday,Lunch,Plant Based Ranch Dressing,2z Portion,210, 22
Monday,Lunch,Cut Sweet Corn,4z Portion,90, 1
Monday,Lunch,Grilled Chicken Breast Strip Fajita,Ounce,35, 1.5
Monday,Lunch,Homestyle Ranch Dressing,Ounce,90, 10
Monday,Lunch,Ken's Cannonball BBQ Sauce,2 tbsp,60, 0
Monday,Lunch,Locally Grown Salad Greens,Ounce,0, 0
Monday,Lunch,Low Sodium Navy Beans,Ounce,30, 0
Monday,Lunch,Mild Chili Powder,Ounce,0, 0
